Song Title,ID
All Of The Girls You Loved Before,spotify:track:4P9Q0GojKVXpRTJCaL3kyy
Sparks Fly (Taylor's Version),spotify:track:3MytWN8L7shNYzGl4tAKRp
Ronan (Taylor's Version),spotify:track:7nWui6jiMM2m9qFmET1Mtj
"Carolina - From The Motion Picture ""Where The Crawdads Sing""",spotify:track:4axSuOg3BqsowKjRpj59RU
I'm Only Me When I'm With You,spotify:track:0JIdBrXGSJXS72zjF9ss9u
Better Than Revenge (Taylor's Version),spotify:track:0NwGC0v03ysCYINtg6ns58
Holy Ground (Taylor's Version),spotify:track:7J4b3LVCIGO4CMBDFLPoP6
Everything Has Changed - Remix,spotify:track:3an4u3iZSy63ygYcWslJ5f
Is It Over Now? (Taylor's Version) (From The Vault),spotify:track:1Iq8oo9XkmmvCQiGOfORiz
Mine - Live/2011,spotify:track:7yndkPYP6YQQLBpPsizDfh
willow - moonlit witch version,spotify:track:5XkJj6sV2XLMaURdmdXgNx
London Boy,spotify:track:1LLXZFeAHK9R4xUramtUKw
willow - moonlit witch version,spotify:track:5F7hpFKLmWgMHGxQuwssuv
mad woman - the long pond studio sessions,spotify:track:04xrhDrQ2WOW8GLwu7kbc0
Cruel Summer - LP Giobbi Remix - Extended Version,spotify:track:0ISHfeb30gj4CSWUZYuesj
willow - dancing witch version (Elvira remix),spotify:track:2NnrAdjE9cPdMklonMBuAv
my tears ricochet - the long pond studio sessions,spotify:track:5mdNyCS7ttVcAyVYOIFEjs
Wonderland (Taylor's Version),spotify:track:2ve0kuaWUCt4Zx8x4bf1MR
Fifteen (Taylor's Version),spotify:track:2nqio0SfWg6gh2eCtfuMa5
this is me trying,spotify:track:7kt9e9LFSpN1zQtYEl19o1
